created_at,tweet_text
2025-04-03 09:56:50+00:00,@BasedMikeLee 💯
2025-04-03 09:53:59+00:00,True https://t.co/aeIM58zUFg
2025-04-03 09:49:31+00:00,@SecKennedy 🇺🇸
2025-04-03 09:34:40+00:00,"RT @WallStreetApes: Democrats would never use the Hitler Nazi hand gesture would they?

I guess it only matters when Elon Musk does it… 

I…"
2025-04-03 09:29:18+00:00,@Mick_O_Keeffe Wow
2025-04-03 09:25:20+00:00,RT @RepBrandonGill: Civilization is unraveling as the Left and their allies in the courts deliberately enable the mass migration of crimina…
2025-04-03 09:23:35+00:00,@realMaalouf !!
2025-04-03 09:21:38+00:00,@ericzelikman ⚡️
2025-04-03 09:20:20+00:00,"RT @MarioNawfal: 🇺🇸 DOGE SLASHES MASSIVE VA WEBSITE WASTE: $380K/MONTH TO JUST 10 HOURS/WEEK

The VA was burning through $380,000 monthly f…"
2025-04-03 09:17:17+00:00,RT @satofishi: Timelapse from Antarctica to the Arctic. https://t.co/B3qZzNPBzB
