created_at,tweet_text
2025-04-01 17:32:58+00:00,rt scottpresler we lost a pennsylvania state senate seat by 482 votes. i guarantee you that voters within that district wish they had ca
2025-04-01 17:32:33+00:00,yes
2025-04-01 17:31:27+00:00,"rt spacex this is the fourth flight for the dragon supporting this mission, having previously flown nasas crew1 to the spacestation,"
2025-04-01 17:31:16+00:00,rt scottpresler can we get brad schimel trending on x? brad schimel. brad schimel. brad schimel. brad schimel. brad schimel. brad schim
2025-04-01 17:30:54+00:00,micsolana accurate assessment
2025-04-01 17:23:52+00:00,wow
2025-04-01 17:20:02+00:00,
2025-04-01 17:18:25+00:00,libsoftiktok fresnostate calling for the death of the president is a serious crime
2025-04-01 17:16:44+00:00,evil people
2025-04-01 17:15:49+00:00,now at 425 rocket landings
